"country","year","deaths.per.1k","code","total.usd.2013","total.usd.2012","total.usd.2000","total.ppp.2013","total.ppp.2012","total.ppp.2000","govt.usd.2013","govt.usd.2012","govt.usd.2000","govt.ppp.2013","govt.ppp.2012","govt.ppp.2000","pct.deaths.5y","pct.pop.vaccinated","grouping","in.epi","PCV10.Price","PCV13.Price","gni.2012","gni.2013","sanitation.2012","sanitation.2013","birth.rate.2012","birth.rate.2013"
"Afghanistan",2013,21.3,"AFG",55,58,NA,161,159,NA,12,12,NA,34,33,NA,28.1,NA,"Gavi","Yes",NA,3.3,720,730,30.5,31.1,36.396,35.253
"Albania",2013,1.8,"ALB",240,220,70,539,506,248,116,109,25,261,250,90,16.3,99,"","Yes",NA,NA,4360,4480,92.1,92.7,12.73,13.106
"Algeria",2013,3.3,"DZA",314,319,60,778,781,274,233,234,44,577,574,201,25.2,NA,"","No",NA,NA,5200,5510,87,87.2,24.946,24.738
"Angola",2013,31.4,"AGO",267,190,22,355,253,91,178,118,11,237,157,45,20.6,9,"Gavi Graduating","Yes",NA,3.3,NA,NA,49.1,50.6,46.499,45.985
"Armenia",2013,1.7,"ARM",159,150,39,351,332,145,66,63,7,147,139,26,18,NA,"Gavi Graduating","Yes",3.4,NA,3760,3930,89.5,89.5,13.474,13.308
"Austria",2013,0,"AUT",5427,5206,2406,4885,4812,2904,4111,3951,1820,3700,3652,2197,5.8,NA,"","Yes",NA,NA,49830,50600,100,100,9.4,9.4
"Azerbaijan",2013,4.5,"AZE",436,402,30,957,878,164,91,91,6,199,198,30,26.6,NA,"Gavi Graduating","Yes",3.4,NA,6290,7350,84.7,86.3,18.8,18.3
"Bahrain",2013,0.1,"BHR",1067,920,476,1900,1651,1255,749,645,320,1333,1158,845,7.2,100,"GCC","Yes",NA,26.25,19470,21060,99.2,99.2,15.414,15.04
"Bangladesh",2013,6.2,"BGD",32,26,9,95,85,29,11,8,4,34,27,12,27.9,NA,"Gavi","Yes",3.4,NA,950,1010,57.7,58.7,20.501,20.142
"Barbados",2013,0.2,"BRB",1007,1009,602,1060,1407,792,615,615,396,647,857,521,24.8,NA,"PAHO RF","Yes",14.12,15.68,15310,NA,94.9,95.5,12.282,12.188
"Belgium",2013,0.1,"BEL",5093,4742,1845,4526,4345,2251,3860,3567,1377,3431,3268,1679,5.4,93,"","Yes",NA,NA,47090,47240,99.5,99.5,11.5,11.2
"Belize",2013,1.2,"BLZ",262,259,139,458,458,227,164,168,73,286,297,119,2.4,NA,"PAHO RF","No",NA,NA,4260,4350,90.2,90.6,23.25,23.092
"Benin",2013,16,"BEN",37,37,15,82,85,52,20,21,7,44,49,23,19.1,93,"Gavi","Yes",NA,3.3,790,860,18.4,19,36.891,36.44
